Search steps:
0: ((1, 5, 6), (4, 2, 9), (7, 8, 3))
1: ((1, 2, 6), (4, 5, 9), (7, 8, 3))
2: ((1, 5, 6), (4, 2, 3), (7, 8, 9))
3: ((1, 2, 6), (4, 5, 3), (7, 8, 9))
4: ((1, 5, 6), (7, 2, 9), (4, 8, 3))
5: ((1, 2, 6), (7, 5, 9), (4, 8, 3))
6: ((1, 5, 6), (7, 2, 3), (4, 8, 9))
7: ((4, 5, 6), (1, 2, 9), (7, 8, 3))
8: ((4, 2, 6), (1, 5, 9), (7, 8, 3))
9: ((4, 5, 6), (1, 2, 3), (7, 8, 9))
10: ((1, 5, 3), (4, 2, 6), (7, 8, 9))
11: ((1, 5, 6), (4, 2, 9), (8, 7, 3))
12: ((1, 2, 6), (4, 5, 9), (8, 7, 3))
13: ((1, 5, 6), (4, 2, 3), (8, 7, 9))
14: ((1, 2, 6), (7, 5, 3), (4, 8, 9))
15: ((1, 2, 3), (4, 5, 6), (7, 8, 9))
