Time taken: 0:00:41.807466
Result steps:
0: ((2, 8, 5), (7, 1, 9), (6, 3, 4))
1: ((8, 2, 5), (7, 1, 9), (6, 3, 4))
2: ((7, 2, 5), (8, 1, 9), (6, 3, 4))
3: ((2, 7, 5), (8, 1, 9), (6, 3, 4))
4: ((2, 7, 5), (8, 1, 9), (3, 6, 4))
5: ((2, 7, 5), (3, 1, 9), (8, 6, 4))
6: ((7, 2, 5), (3, 1, 9), (8, 6, 4))
7: ((3, 2, 5), (7, 1, 9), (8, 6, 4))
8: ((3, 2, 5), (7, 1, 4), (8, 6, 9))
9: ((3, 2, 5), (7, 1, 4), (6, 8, 9))
10: ((2, 3, 5), (7, 1, 4), (6, 8, 9))
11: ((2, 3, 5), (6, 1, 4), (7, 8, 9))
12: ((3, 2, 5), (6, 1, 4), (7, 8, 9))
13: ((3, 1, 5), (6, 2, 4), (7, 8, 9))
14: ((1, 3, 5), (6, 2, 4), (7, 8, 9))
15: ((1, 3, 4), (6, 2, 5), (7, 8, 9))
16: ((1, 4, 3), (6, 2, 5), (7, 8, 9))
17: ((1, 2, 3), (6, 4, 5), (7, 8, 9))
18: ((1, 2, 3), (4, 6, 5), (7, 8, 9))
19: ((1, 2, 3), (4, 5, 6), (7, 8, 9))
