Time taken: 0:00:17.909934
Result steps:
0: ((4, 6, 3), (1, 2, 7), (5, 9, 8))
1: ((6, 4, 3), (1, 2, 7), (5, 9, 8))
2: ((1, 4, 3), (6, 2, 7), (5, 9, 8))
3: ((4, 1, 3), (6, 2, 7), (5, 9, 8))
4: ((4, 2, 3), (6, 1, 7), (5, 9, 8))
5: ((4, 2, 3), (6, 1, 7), (5, 8, 9))
6: ((2, 4, 3), (6, 1, 7), (5, 8, 9))
7: ((2, 4, 3), (6, 1, 7), (8, 5, 9))
8: ((2, 4, 3), (6, 5, 7), (8, 1, 9))
9: ((2, 4, 3), (6, 5, 7), (1, 8, 9))
10: ((2, 4, 3), (6, 7, 5), (1, 8, 9))
11: ((2, 4, 3), (7, 6, 5), (1, 8, 9))
12: ((4, 2, 3), (7, 6, 5), (1, 8, 9))
13: ((4, 2, 3), (1, 6, 5), (7, 8, 9))
14: ((1, 2, 3), (4, 6, 5), (7, 8, 9))
15: ((1, 2, 3), (4, 5, 6), (7, 8, 9))
