Time taken: 0:00:39.351985
Result steps:
0: ((5, 6, 8), (1, 9, 7), (3, 2, 4))
1: ((6, 5, 8), (1, 9, 7), (3, 2, 4))
2: ((1, 5, 8), (6, 9, 7), (3, 2, 4))
3: ((5, 1, 8), (6, 9, 7), (3, 2, 4))
4: ((6, 1, 8), (5, 9, 7), (3, 2, 4))
5: ((1, 6, 8), (5, 9, 7), (3, 2, 4))
6: ((1, 6, 8), (3, 9, 7), (5, 2, 4))
7: ((1, 6, 8), (3, 9, 7), (5, 4, 2))
8: ((6, 1, 8), (3, 9, 7), (5, 4, 2))
9: ((3, 1, 8), (6, 9, 7), (5, 4, 2))
10: ((3, 1, 8), (6, 7, 9), (5, 4, 2))
11: ((3, 1, 8), (6, 7, 2), (5, 4, 9))
12: ((3, 1, 2), (6, 7, 8), (5, 4, 9))
13: ((3, 1, 2), (6, 7, 8), (4, 5, 9))
14: ((3, 1, 2), (7, 6, 8), (4, 5, 9))
15: ((3, 1, 2), (7, 8, 6), (4, 5, 9))
16: ((1, 3, 2), (7, 8, 6), (4, 5, 9))
17: ((1, 2, 3), (7, 8, 6), (4, 5, 9))
18: ((1, 2, 3), (4, 8, 6), (7, 5, 9))
19: ((1, 2, 3), (4, 5, 6), (7, 8, 9))
