Search steps:
0: ((7, 4, 1), (2, 6, 3), (9, 8, 5))
1: ((2, 4, 1), (7, 6, 3), (9, 8, 5))
2: ((4, 2, 1), (7, 6, 3), (9, 8, 5))
3: ((4, 2, 1), (7, 3, 6), (9, 8, 5))
4: ((7, 2, 1), (4, 6, 3), (9, 8, 5))
5: ((4, 2, 1), (9, 6, 3), (7, 8, 5))
6: ((4, 2, 1), (7, 6, 3), (8, 9, 5))
7: ((4, 2, 1), (7, 6, 3), (8, 5, 9))
8: ((4, 2, 1), (7, 5, 3), (8, 6, 9))
9: ((7, 2, 1), (4, 6, 3), (8, 5, 9))
10: ((4, 2, 1), (8, 6, 3), (7, 5, 9))
11: ((4, 2, 1), (7, 6, 3), (5, 8, 9))
12: ((4, 2, 1), (5, 6, 3), (7, 8, 9))
13: ((4, 2, 1), (7, 3, 6), (8, 5, 9))
14: ((4, 1, 2), (7, 6, 3), (9, 8, 5))
15: ((4, 2, 1), (7, 6, 3), (9, 5, 8))
16: ((4, 1, 2), (7, 6, 3), (8, 5, 9))
17: ((4, 2, 1), (7, 5, 3), (6, 8, 9))
18: ((4, 2, 1), (8, 5, 3), (7, 6, 9))
19: ((4, 2, 1), (7, 5, 3), (8, 9, 6))
20: ((4, 2, 1), (7, 3, 5), (9, 8, 6))
21: ((4, 2, 1), (7, 5, 3), (9, 8, 6))
22: ((4, 2, 1), (7, 5, 3), (9, 6, 8))
23: ((4, 2, 1), (9, 5, 3), (7, 8, 6))
24: ((7, 2, 1), (4, 5, 3), (8, 6, 9))
25: ((7, 2, 1), (4, 5, 3), (9, 8, 6))
26: ((4, 1, 2), (7, 5, 3), (9, 8, 6))
27: ((4, 1, 2), (7, 5, 3), (8, 6, 9))
28: ((5, 2, 1), (4, 6, 3), (7, 8, 9))
29: ((4, 2, 1), (7, 8, 3), (9, 6, 5))
30: ((4, 2, 1), (7, 8, 3), (9, 5, 6))
31: ((7, 2, 1), (4, 8, 3), (9, 5, 6))
32: ((4, 2, 1), (9, 8, 3), (7, 5, 6))
33: ((4, 2, 1), (7, 8, 3), (5, 9, 6))
34: ((4, 2, 1), (5, 8, 3), (7, 9, 6))
35: ((4, 2, 1), (6, 5, 3), (7, 8, 9))
36: ((4, 1, 2), (5, 6, 3), (7, 8, 9))
37: ((4, 2, 1), (7, 6, 5), (9, 8, 3))
38: ((4, 2, 1), (7, 5, 6), (9, 8, 3))
39: ((7, 2, 1), (4, 5, 6), (9, 8, 3))
40: ((4, 2, 1), (9, 5, 6), (7, 8, 3))
41: ((4, 2, 1), (7, 5, 6), (8, 9, 3))
42: ((4, 2, 1), (5, 3, 6), (7, 8, 9))
43: ((4, 1, 2), (7, 5, 6), (9, 8, 3))
44: ((4, 1, 2), (7, 8, 3), (9, 5, 6))
45: ((7, 2, 1), (4, 6, 3), (8, 9, 5))
46: ((4, 2, 1), (7, 3, 6), (5, 8, 9))
47: ((4, 2, 1), (8, 3, 6), (7, 5, 9))
48: ((7, 2, 1), (4, 6, 3), (9, 5, 8))
49: ((7, 2, 1), (4, 3, 6), (9, 8, 5))
50: ((2, 4, 1), (7, 3, 6), (9, 8, 5))
51: ((2, 4, 1), (7, 6, 3), (9, 5, 8))
52: ((2, 4, 1), (7, 6, 3), (8, 9, 5))
53: ((2, 4, 1), (7, 6, 3), (8, 5, 9))
54: ((2, 4, 1), (7, 5, 3), (8, 6, 9))
55: ((4, 2, 1), (7, 3, 6), (9, 5, 8))
56: ((2, 1, 4), (7, 6, 3), (8, 5, 9))
57: ((1, 2, 4), (7, 6, 3), (8, 5, 9))
58: ((1, 2, 3), (7, 6, 4), (8, 5, 9))
59: ((1, 2, 3), (7, 4, 6), (8, 5, 9))
60: ((1, 2, 3), (4, 7, 6), (8, 5, 9))
61: ((1, 2, 3), (4, 5, 6), (8, 7, 9))
62: ((1, 2, 3), (4, 5, 6), (7, 8, 9))
