Search steps:
0: ((7, 8, 4), (9, 6, 2), (1, 3, 5))
1: ((7, 8, 4), (1, 6, 2), (9, 3, 5))
2: ((1, 8, 4), (7, 6, 2), (9, 3, 5))
3: ((1, 8, 4), (7, 2, 6), (9, 3, 5))
4: ((1, 8, 4), (7, 2, 6), (9, 5, 3))
5: ((1, 2, 4), (7, 8, 6), (9, 5, 3))
6: ((1, 2, 4), (7, 5, 6), (9, 8, 3))
7: ((1, 2, 4), (7, 5, 3), (9, 8, 6))
8: ((1, 2, 4), (7, 8, 3), (9, 5, 6))
9: ((1, 2, 3), (7, 5, 4), (9, 8, 6))
10: ((1, 8, 4), (7, 2, 3), (9, 5, 6))
11: ((1, 2, 3), (7, 8, 4), (9, 5, 6))
12: ((1, 8, 3), (7, 2, 4), (9, 5, 6))
13: ((1, 4, 2), (7, 5, 3), (9, 8, 6))
14: ((1, 2, 4), (9, 5, 3), (7, 8, 6))
15: ((1, 2, 4), (7, 5, 3), (8, 9, 6))
16: ((1, 2, 3), (9, 5, 4), (7, 8, 6))
17: ((1, 2, 3), (7, 4, 5), (9, 8, 6))
18: ((1, 2, 4), (9, 8, 3), (7, 5, 6))
19: ((1, 2, 4), (7, 8, 3), (5, 9, 6))
20: ((1, 2, 4), (5, 8, 3), (7, 9, 6))
21: ((1, 2, 4), (9, 5, 6), (7, 8, 3))
22: ((1, 2, 4), (7, 5, 6), (8, 9, 3))
23: ((1, 2, 3), (7, 5, 4), (8, 9, 6))
24: ((1, 2, 3), (5, 8, 4), (7, 9, 6))
25: ((1, 4, 2), (7, 8, 3), (9, 5, 6))
26: ((1, 4, 2), (7, 5, 6), (9, 8, 3))
27: ((1, 2, 6), (7, 5, 4), (9, 8, 3))
28: ((1, 2, 4), (7, 8, 6), (5, 9, 3))
29: ((1, 2, 4), (5, 8, 6), (7, 9, 3))
30: ((1, 2, 4), (9, 8, 6), (7, 5, 3))
31: ((1, 4, 2), (7, 8, 6), (9, 5, 3))
32: ((1, 2, 3), (7, 4, 8), (9, 5, 6))
33: ((1, 2, 3), (7, 8, 4), (5, 9, 6))
34: ((1, 2, 3), (9, 8, 4), (7, 5, 6))
35: ((1, 8, 4), (7, 2, 3), (5, 9, 6))
36: ((1, 8, 4), (5, 2, 3), (7, 9, 6))
37: ((1, 4, 8), (7, 2, 3), (9, 5, 6))
38: ((1, 2, 8), (7, 4, 3), (9, 5, 6))
39: ((1, 2, 6), (7, 8, 4), (9, 5, 3))
40: ((1, 8, 4), (9, 2, 3), (7, 5, 6))
41: ((1, 8, 3), (5, 2, 4), (7, 9, 6))
42: ((1, 2, 4), (7, 8, 6), (9, 3, 5))
43: ((1, 2, 4), (7, 3, 6), (9, 8, 5))
44: ((1, 2, 4), (7, 3, 5), (9, 8, 6))
45: ((1, 2, 4), (7, 3, 6), (9, 5, 8))
46: ((1, 4, 2), (7, 3, 6), (9, 8, 5))
47: ((1, 2, 6), (7, 3, 4), (9, 8, 5))
48: ((1, 2, 6), (7, 4, 3), (9, 8, 5))
49: ((1, 2, 3), (7, 4, 6), (9, 8, 5))
50: ((1, 2, 4), (9, 3, 6), (7, 8, 5))
51: ((1, 2, 4), (7, 6, 3), (9, 8, 5))
52: ((1, 2, 6), (4, 7, 3), (9, 8, 5))
53: ((1, 2, 6), (9, 4, 3), (7, 8, 5))
54: ((1, 2, 6), (4, 9, 3), (7, 8, 5))
55: ((1, 2, 3), (4, 9, 6), (7, 8, 5))
56: ((1, 2, 3), (4, 9, 5), (7, 8, 6))
57: ((1, 2, 3), (4, 5, 9), (7, 8, 6))
58: ((1, 2, 3), (4, 5, 6), (7, 8, 9))
