Search steps:
0: ((1, 8, 2), (6, 5, 7), (9, 4, 3))
1: ((1, 8, 2), (6, 5, 3), (9, 4, 7))
2: ((1, 8, 2), (6, 5, 3), (4, 9, 7))
3: ((1, 8, 2), (6, 5, 3), (4, 7, 9))
4: ((1, 8, 2), (4, 5, 3), (6, 7, 9))
5: ((1, 8, 2), (4, 5, 3), (7, 6, 9))
6: ((1, 2, 8), (4, 5, 3), (7, 6, 9))
7: ((1, 5, 2), (4, 8, 3), (7, 6, 9))
8: ((1, 8, 2), (4, 5, 3), (7, 9, 6))
9: ((1, 2, 3), (4, 5, 8), (7, 6, 9))
10: ((1, 5, 2), (4, 6, 3), (7, 8, 9))
11: ((1, 8, 3), (4, 5, 2), (7, 6, 9))
12: ((1, 8, 2), (4, 6, 3), (7, 5, 9))
13: ((1, 8, 2), (4, 5, 3), (6, 9, 7))
14: ((1, 5, 2), (4, 8, 3), (6, 7, 9))
15: ((1, 2, 8), (4, 5, 3), (7, 9, 6))
16: ((1, 2, 8), (4, 5, 3), (6, 7, 9))
17: ((1, 2, 5), (4, 8, 3), (7, 6, 9))
18: ((1, 5, 2), (4, 8, 3), (7, 9, 6))
19: ((1, 2, 8), (6, 5, 3), (4, 7, 9))
20: ((1, 2, 3), (4, 5, 8), (6, 7, 9))
21: ((1, 8, 2), (5, 6, 3), (4, 7, 9))
22: ((1, 5, 2), (6, 8, 3), (4, 7, 9))
23: ((1, 2, 5), (4, 6, 3), (7, 8, 9))
24: ((1, 5, 2), (4, 3, 6), (7, 8, 9))
25: ((1, 2, 3), (4, 8, 5), (7, 6, 9))
26: ((1, 2, 3), (4, 5, 9), (7, 6, 8))
27: ((1, 2, 3), (4, 5, 9), (7, 8, 6))
28: ((1, 2, 3), (4, 5, 6), (7, 8, 9))
